#field_name                RA0      DEC0    NSIDEX    NSIDEY
ra5h30dec-55_2008      82.7000  -55.0000       960       960
ra23h30dec-55_2008    352.5000  -55.0000       960       960
ra23h30dec-55_2010    352.5000  -55.0000       960       960
ra21hdec-60           315.0000  -60.0000      1280       960
ra3h30dec-60           52.5000  -60.0000      2048      1024
ra21hdec-50           315.0000  -50.0000      1536       960
ra4h10dec-50           62.5000  -50.0000      1536       960
ra0h50dec-50           12.5000  -50.0000      1536       960
ra2h30dec-50           37.5000  -50.0000      1536       960
ra1hdec-60             15.0000  -60.0000      1280       960
ra5h30dec-45           82.5000  -45.0000      1024      1024
ra6h30dec-55           97.5000  -55.0000       960       960
ra23hdec-62.5         345.0000  -62.5000      1152       640
ra21hdec-42.5         315.0000  -42.5000      1728       640
ra22h30dec-55         337.5000  -55.0000       960       960
ra23hdec-45           345.0000  -45.0000      1728       960
ra6hdec-62.5           90.0000  -62.5000      1152       640
ra3h30dec-42.5         52.5000  -42.5000      2160       960
ra1hdec-42.5           15.0000  -42.5000      1728       640
ra6h30dec-45           97.5000  -45.0000      1024      1024
